,AFF,AFF,Freq,OPEID,OPEID,Issues
646,VOLUNTEER STATE COMMUNITY COLL,VOLUNTEER STATE COMMUNITY COLLEGE,1,00991200,991200,
544,ROANE STATE COMMUNITY COLL,ROANE STATE COMMUNITY COLLEGE,1,00991400,991400,
653,WHATCOM COMMUNITY COLL,WHATCOM COMMUNITY COLLEGE,1,01036400,1036400,
626,UNIV SAN DIEGO,UNIVERSITY OF SAN DIEGO,1,01039500,1039500,
215,UNIV ALASKA ANCHORAGE,UNIVERSITY OF ALASKA ANCHORAGE,3,01146200,1146200,
278,LOYOLA MARYMOUNT UNIV,LOYOLA MARYMOUNT UNIVERSITY,2,01164900,1164900,
445,GUAM COMMUNITY COLL,GUAM COMMUNITY COLLEGE,1,01536100,1536100,
353,BERKELEY CITY COLL,BERKELEY CITY COLLEGE,1,02242700,2242700,
371,CALIF STATE UNIV SAN MARCOS,CALIFORNIA STATE UNIVERSITY-SAN MARCOS,1,03011300,3011300,
479,LAS POSITAS COLL,LAS POSITAS COLLEGE,1,03035700,3035700,
249,CALIF STATE UNIV MONTEREY BAY,CALIFORNIA STATE UNIVERSITY-MONTEREY BAY,2,03260300,3260300,
351,BATON ROUGE COMMUNITY COLL,BATON ROUGE COMMUNITY COLLEGE,1,03730300,3730300,
314,UNIV CALIF MERCED,UNIVERSITY OF CALIFORNIA-MERCED,2,04127100,4127100,
106,GEORGIA GWINNETT COLL,GEORGIA GWINNETT COLLEGE,5,04142900,4142900,
238,ADAM MICKIEWICZ UNIV,ADAM MICKIEWICZ UNIVERSITY,2,NA,NA,Not in MSI list
336,ALVIN AND LOIS LAPIDUS CANC INST,ALVIN AND LOIS LAPIDUS CANC INST,1,NA,NA,Not in MSI list
7,ARIZONA STATE UNIV,ARIZONA STATE UNIVERSITY,43,NA,NA,Multiple campuses: 5
340,ASSOC AMER UNIV,ASSOC AMER UNIVERSITY,1,NA,NA,Not in MSI list
341,ASSOC WOMEN SCI,ASSOC WOMEN SCI,1,NA,NA,Not in MSI list
342,ASTON UNIV,ASTON UNIVERSITY,1,NA,NA,Not in MSI list
343,ATHABASCA UNIV,ATHABASCA UNIVERSITY,1,NA,NA,Not in MSI list
243,AUSTIN COMMUNITY COLL,AUSTIN COMMUNITY COLLEGE,2,NA,NA,Austin College (Sherman) or Austin Community College District (Austin)
345,AWHINA RES,AWHINA RES,1,NA,NA,Not in MSI list
346,BACON ACAD,BACON ACAD,1,NA,NA,Not in MSI list
354,BIOL SCI,BIOL SCI,1,NA,NA,Not in MSI list
355,BOARD CHEM SCI AND TECHNOL,BOARD CHEM SCI AND TECHNOL,1,NA,NA,Not in MSI list
